"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BRION",40,13,27,33.4,335,462,0.73,0.6,-0.75,"-7.0%",36.7,-4.2,-1087,"45%","35%","30%",2.7,"43%","53%","41%","60%","38%","42%","49.3%","46.6%",2.5,1.5,1.81
"Dplus KIA",36,26,10,31.7,452,251,1.8,0.61,1.32,"8.1%",66.9,5.3,1431,"64%","67%","64%",4.8,"64%","58%","65%","50%","64%","65%","50.2%","53.7%",2.9,1.58,1.69
"DRX",39,11,28,31.1,317,536,0.59,0.7,-1.42,"-9.5%",31.7,-3.5,-1479,"28%","36%","36%",3.3,"38%","36%","42%","33%","28%","34%","48.8%","47.3%",2.37,1.45,1.76
"Gen.G",39,26,13,33,546,387,1.41,0.72,1.03,"9.0%",65.2,1.5,1294,"67%","72%","69%",5,"59%","51%","62%","50%","67%","66%","50.6%","55.6%",2.5,1.27,1.92
"Hanwha Life Esports",40,22,18,33.9,399,407,0.98,0.59,-0.28,"1.6%",46.4,8.6,30,"48%","38%","40%",4.5,"51%","35%","39%","40%","48%","52%","50.2%","50.5%",2.77,1.45,1.78
"KT Rolster",39,24,15,31.4,437,312,1.4,0.61,0.59,"3.7%",54,7.5,371,"56%","56%","62%",4.4,"44%","46%","56%","67%","59%","64%","50.9%","49.8%",2.54,1.36,1.8
"Kwangdong Freecs",40,15,25,33.3,361,492,0.73,0.64,-0.36,"-2.8%",49,-11.5,-269,"38%","45%","50%",4.5,"52%","38%","43%","40%","30%","29%","50.3%","49.8%",2.65,1.47,1.79
"Liiv SANDBOX",42,21,21,32.9,424,456,0.93,0.64,-0.15,"-2.8%",48.7,1.3,-400,"55%","36%","43%",2.9,"35%","76%","50%","67%","45%","48%","50.2%","48.8%",2.77,1.54,1.73
"Nongshim RedForce",38,7,31,31.4,328,493,0.67,0.69,-1.59,"-8.4%",30.6,-12.2,-1725,"42%","26%","16%",2.4,"53%","37%","33%","33%","18%","23%","48.9%","44.9%",2.49,1.53,1.55
"T1",39,31,8,30.5,558,376,1.48,0.78,1.81,"8.8%",72.2,7.3,1964,"59%","92%","92%",5.5,"63%","69%","72%","50%","79%","79%","50.5%","53.4%",2.7,1.39,1.63